Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 30/12/2021
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
DIMRI,DIMRI,1090315,IL0010903156,0.43479,5560,29720.00,30230.0000,No,18707871,36.93,45.00,18707871.00,8418541.95,1,2089,05/12/2021
MIGDAL INSUR.,MGDL,1081165,IL0010811656,0.42271,5405,512.90,513.1000,No,1053908234,35.72,45.00,1053908234.00,474258705.30,1,1932,05/12/2021
DELEK AUTOMOTIV,DLEA,829010,IL0008290103,0.42128,4054,4327.00,4400.0000,No,93690969,54.50,60.00,93376959.00,56026175.40,1,2247,05/12/2021
PERION NETWORK,PERI,1095819,IL0010958192,0.41949,3025,7295.00,7620.0000,No,41462566,85.98,100.00,33090474.00,33090474.00,1,2716,05/12/2021
DELTA GALIL,DELG,627034,IL0006270347,0.41904,5361,20960.00,21400.0000,No,25579176,40.82,45.00,25565567.00,11504505.15,1,2234,05/12/2021
SELLA REAL EST,SLARL,1109644,IL0011096448,0.41474,2389,1108.00,1108.0000,No,215609622,97.29,100.00,215399000.00,215399000.00,1,2324,05/12/2021
ELECTRA CO  PR,ECP,5010129,IL0050101299,0.40632,3897,17760.00,18000.0000,No,21942049,52.08,60.00,21942049.00,13165229.40,1,2057,05/12/2021
BAZAN,ORL,2590248,IL0025902482,0.39887,2869,89.50,89.4000,No,3205713154,60.55,80.00,3205713154.00,2564570523.20,1,1735,05/12/2021
ELCO,ELCO,694034,IL0006940345,0.38056,6257,22890.00,22900.0000,No,27334263,34.48,35.00,27334263.00,9566992.05,1,2158,05/12/2021
FATTAL HOLD,FTAL,1143429,IL0011434292,0.37144,4750,30720.00,31420.0000,No,15461573,37.64,45.00,15461573.00,6957707.85,1,1829,05/12/2021
MENORA MIV HLD,MMHD,566018,IL0005660183,0.35046,4482,7083.00,7362.0000,No,63271931,35.42,45.00,63271931.00,28472368.95,1,1650,05/12/2021
RAMI LEVI,RMLI,1104249,IL0011042491,0.34185,3279,23800.00,23330.0000,No,13775583,59.68,60.00,13775583.00,8265349.80,1,1918,05/12/2021
