Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 19/10/2021
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
ELCO,ELCO,694034,IL0006940345,0.37316,5740,21000.00,20870.0000,No,27334263,34.48,35.00,27334263.00,9566992.05,1,1967,10/10/2021
MENORA MIV HLD,MMHD,566018,IL0005660183,0.37019,4429,7000.00,6961.0000,No,63271931,35.42,45.00,63271931.00,28472368.95,1,1560,10/10/2021
INROM CONST,INRM,1132356,IL0011323560,0.36288,1954,1562.00,1597.0000,No,125081503,87.00,100.00,125077994.00,125077994.00,1,1738,10/10/2021
RAMI LEVI,RMLI,1104249,IL0011042491,0.35570,3192,23170.00,23270.0000,No,13775583,59.68,60.00,13775583.00,8265349.80,1,1913,10/10/2021
DIMRI,DIMRI,1090315,IL0010903156,0.35073,4196,22430.00,22120.0000,No,18707871,36.93,45.00,18707871.00,8418541.95,1,1528,10/10/2021
DELTA GALIL,DELG,627034,IL0006270347,0.34946,4182,16360.00,16520.0000,No,25564628,40.78,45.00,25556436.00,11500396.20,1,1722,10/10/2021
ISRAEL CANADA,ISCN,434019,IL0004340191,0.33017,3950,1399.00,1422.0000,No,282358986,40.04,45.00,282358986.00,127061543.70,1,1608,10/10/2021
ISRAMCO     PU,ISRA,232017,IL0002320179,0.32872,2212,85.40,85.8000,No,2590457029,77.30,80.00,2590457029.00,2072365623.20,1,1718,10/10/2021
COMPUGEN,CGEN,1085208,IL0010852080,0.31142,1677,1998.00,2044.0000,No,83917929,99.93,100.00,83917929.00,83917929.00,1,1714,10/10/2021
ALLOT,ALLT,1099654,IL0010996549,0.31085,1674,4730.00,4695.0000,No,35382638,91.39,100.00,35382638.00,35382638.00,1,1518,10/10/2021
TASE,TASE,1159029,IL0011590291,0.30944,1666,1643.00,1698.0000,No,101399817,80.28,100.00,101399817.00,101399817.00,1,1382,10/10/2021
BAZAN,ORL,2590248,IL0025902482,0.30617,2747,85.70,86.8000,No,3205713154,51.55,60.00,3205713154.00,1923427892.40,1,1434,10/10/2021
G CITY,GCT,126011,IL0001260111,0.30355,3632,2393.00,2471.0000,No,151764232,44.69,45.00,151764232.00,68293904.40,1,1676,10/10/2021
RADA,RADA,1082650,IL0010826506,0.30192,1626,3315.00,3381.0000,No,49035041,100.00,100.00,49035041.00,49035041.00,1,1658,10/10/2021
TADIRAN GROUP,TDRN,258012,IL0002580129,0.30056,3596,41890.00,41650.0000,No,8584304,35.51,45.00,8584304.00,3862936.80,1,1270,10/10/2021
ARGO PROP.,ARGO,1175371,NL0015000D84,0.27274,1835,10140.00,10090.0000,No,18101534,60.31,80.00,18101534.00,14481227.20,1,1102,10/10/2021
VERIDIS,VRDS,1176387,IL0011763872,0.26323,4049,3820.00,3898.0000,No,106000000,33.65,35.00,106000000.00,37100000.00,1,1390,10/10/2021
PROPERT & BUIL,PTBL,699017,IL0006990175,0.26153,3129,42380.00,42780.0000,No,7383332,36.82,45.00,7383332.00,3322499.40,1,1163,10/10/2021
RATIO      PU,RATI,394015,IL0003940157,0.24649,1659,147.60,150.6000,No,1123871146,78.26,80.00,1123871146.00,899096916.80,1,1325,10/10/2021
BATM,BVC,1158823,IL0010849045,0.24437,1645,373.40,365.9000,No,440434124,77.31,80.00,440434124.00,352347299.20,1,1246,10/10/2021
ISRAS,ISRS,613034,IL0006130343,0.23990,3690,68290.00,70230.0000,No,5403896,30.00,35.00,5403896.00,1891363.60,1,1139,10/10/2021
MENIVIM REIT,MNRT,1140573,IL0011405730,0.23869,1285,204.80,202.8000,No,627471944,99.41,100.00,627471944.00,627471944.00,1,1265,10/10/2021
BLUE SQ REAL ES,BLSR,1098565,IL0010985658,0.23568,2820,24340.00,24610.0000,No,11584970,39.72,45.00,11584970.00,5213236.50,1,1132,10/10/2021
GENERATION CAP,GNRS,1156926,IL0011569261,0.23425,1261,99.70,102.1000,No,1264955610,98.95,100.00,1264955610.00,1264955610.00,1,1278,10/10/2021
AFRICA RESIDENC,AFRE,1097948,IL0010979487,0.23108,2074,16400.00,16360.0000,No,12643536,49.12,60.00,12643536.00,7586121.60,1,1016,10/10/2021
GILAT,GILT,1082510,IL0010825102,0.22647,1524,2697.00,2740.0000,No,56510951,72.67,80.00,56510951.00,45208760.80,1,1125,10/10/2021
AZORIM,AZRM,715011,IL0007150118,0.22388,2679,1271.00,1320.0000,No,210740327,35.50,45.00,210740327.00,94833147.15,1,988,10/10/2021
ELECTRA REAL E.,ELCRE,1094044,IL0010940448,0.22331,2672,4695.00,4770.0000,No,56904671,40.31,45.00,56904671.00,25607101.95,1,1094,10/10/2021
NETO MALINDA,NTML,1105097,IL0011050973,0.21869,1962,9400.00,9897.0000,No,20875754,48.48,60.00,20875754.00,12525452.40,1,1002,10/10/2021
ARAD INVESTMENT,ARAD,731018,IL0007310183,0.20893,2500,34720.00,35670.0000,No,7199643,40.69,45.00,7199643.00,3239839.35,1,1045,10/10/2021
YOCHANANOF,YHNF,1161264,IL0011612640,0.20494,3153,21760.00,21550.0000,No,14487860,30.78,35.00,14487860.00,5070751.00,1,961,10/10/2021
CELLCOM,CEL,1101534,IL0011015349,0.19405,1741,1067.00,1052.0000,No,163190642,54.00,60.00,163190642.00,97914385.20,1,927,10/10/2021
IDI INSUR,IDIN,1129501,IL0011295016,0.18824,1689,11510.00,11480.0000,No,14674913,50.55,60.00,14674913.00,8804947.80,1,852,10/10/2021
