Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 02/10/2022
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
RADA,RADA,1082650,IL0010826506,0.32260,1685,3390.00,3437.0000,No,49718045,100.00,100.00,49718045.00,49718045.00,1,1709,04/09/2022
G CITY,GCT,126011,IL0001260111,0.31755,2765,1660.00,1513.0000,No,166573393,48.41,60.00,166573393.00,99944035.80,1,1220,04/09/2022
MAGIC,MGIC,1082312,IL0010823123,0.31178,2715,5530.00,5524.0000,No,49093055,53.29,60.00,49093055.00,29455833.00,1,1445,04/09/2022
NOFAR ENERGY,NOFR,1170877,IL0011708778,0.30807,3577,10630.00,10400.0000,No,33647857,46.45,45.00,33647857.00,15141535.65,1,1625,04/09/2022
VERIDIS,VRDS,1176387,IL0011763872,0.30311,3519,3320.00,3106.0000,No,106000000,37.32,45.00,106000000.00,47700000.00,1,1229,04/09/2022
DIRECT FINANCE,DIFI,1168186,IL0011681868,0.29797,2595,87750.00,84000.0000,No,2956844,52.41,60.00,2956844.00,1774106.40,1,1302,04/09/2022
ISRAEL CANADA,ISCN,434019,IL0004340191,0.29699,3570,1180.00,1150.0000,No,302584219,43.63,45.00,292215357.00,131496910.65,1,1518,04/09/2022
TASE,TASE,1159029,IL0011590291,0.28674,1861,1846.00,1840.0000,No,100799078,80.16,80.00,101441612.00,81153289.60,1,1487,04/09/2022
MENORA MIV HLD,MMHD,566018,IL0005660183,0.28619,4257,6869.00,6861.0000,No,61962992,34.06,35.00,62193168.00,21767608.80,1,1448,04/09/2022
NAVITAS PTRO PU,NVPT,1141969,IL0011419699,0.26378,1723,1840.00,1740.0000,No,93625393,74.70,80.00,93625393.00,74900314.40,1,1217,04/09/2022
NETO MALINDA,NTML,1105097,IL0011050973,0.26371,2296,11000.00,11350.0000,No,20875754,48.48,60.00,20875754.00,12525452.40,1,1149,04/09/2022
ACRO KVUT,ACRO,1184902,IL0011849028,0.24839,2884,5041.00,4863.0000,No,57209000,36.85,45.00,57209000.00,25744050.00,1,1025,04/09/2022
ARAD INVESTMENT,ARAD,731018,IL0007310183,0.24721,2870,42200.00,42000.0000,No,6801362,37.22,45.00,6801362.00,3060612.90,1,1063,04/09/2022
INFINYA,INFN,632018,IL0006320183,0.24696,2151,33170.00,32880.0000,No,6484639,55.20,60.00,6483228.00,3889936.80,1,1177,04/09/2022
RETAILORS,RTLS,1175488,IL0011754889,0.23972,3578,7387.00,7065.0000,No,48442922,30.41,35.00,48442922.00,16955022.70,1,1041,04/09/2022
ELECTRA REAL E.,ELCRE,1094044,IL0010940448,0.23302,2705,4772.00,4650.0000,No,56694691,40.09,45.00,56694691.00,25512610.95,1,1057,04/09/2022
BLUE SQ REAL ES,BLSR,1098565,IL0010985658,0.22717,2637,21620.00,21240.0000,No,12199163,41.94,45.00,12199163.00,5489623.35,1,1087,04/09/2022
MENIVIM REIT,MNRT,1140573,IL0011405730,0.22530,1177,170.60,170.0000,No,689983944,99.44,100.00,689983944.00,689983944.00,1,1166,04/09/2022
AFRICA RESIDENC,AFRE,1097948,IL0010979487,0.22521,1961,15510.00,14510.0000,No,12643536,49.12,60.00,12643536.00,7586121.60,1,901,04/09/2022
LAND DEV,ILDC,612010,IL0006120104,0.21355,1860,4900.00,4608.0000,No,37949827,46.50,60.00,37949827.00,22769896.20,1,813,04/09/2022
ARGO PROP.,ARGO,1175371,NL0015000D84,0.21342,1394,7700.00,7580.0000,No,18101534,60.43,80.00,18101534.00,14481227.20,1,829,04/09/2022
GENERATION CAP,GNRS,1156926,IL0011569261,0.20744,1548,122.40,118.0000,No,1264955610,98.90,100.00,1264955610.00,1264955610.00,0.7,1476,04/09/2022
GILAT,GILT,1082510,IL0010825102,0.20261,1059,1870.00,1877.0000,No,56608016,90.17,100.00,56608016.00,56608016.00,1,958,04/09/2022
YOCHANANOF,YHNF,1161264,IL0011612640,0.19790,2954,20390.00,19520.0000,No,14487860,32.07,35.00,14487860.00,5070751.00,1,907,04/09/2022
PRASHKOVSKY,PRSK,1102128,IL0011021289,0.18274,2122,10070.00,9520.0000,No,21068551,35.05,45.00,21068551.00,9480847.95,1,703,04/09/2022
AURA,AURA,373019,IL0003730194,0.18056,1572,613.00,570.0000,No,256484210,48.48,60.00,256484210.00,153890526.00,1,709,04/09/2022
IES,IES,431015,IL0004310152,0.17847,1554,26700.00,24730.0000,No,5820368,48.43,60.00,5820368.00,3492220.80,1,697,04/09/2022
PROPERT & BUIL,PTBL,699017,IL0006990175,0.17812,2068,28010.00,26520.0000,No,7383332,36.82,45.00,7383332.00,3322499.40,1,721,04/09/2022
MEDITR TOWER,MDTR,1131523,IL0011315236,0.17686,1540,1024.00,1001.0000,No,150393415,50.87,60.00,150393415.00,90236049.00,1,766,04/09/2022
AZORIM,AZRM,715011,IL0007150118,0.17435,2603,1235.00,1179.0000,No,210740327,33.97,35.00,210740327.00,73759114.45,1,844,04/09/2022
NOVOLOG,NVLG,1140151,IL0011401515,0.17170,1499,294.90,285.9000,No,508236839,57.50,60.00,506982630.00,304189578.00,1,836,04/09/2022
ISRAS,ISRS,613034,IL0006130343,0.16841,3520,65130.00,65000.0000,No,5403896,29.99,25.00,5403896.00,1350974.00,1,1053,04/09/2022
DORAL ENERGY,DORL,1166768,IL0011667685,0.16519,2319,1305.00,1237.0000,No,177722867,48.92,45.00,146967000.00,66135150.00,1,1075,04/09/2022
IDI INSUR,IDIN,1129501,IL0011295016,0.16295,1419,9669.00,9280.0000,No,14674913,50.45,60.00,14674913.00,8804947.80,1,687,04/09/2022
ISSTA,ISTA,1081074,IL0010810740,0.15585,1454,9212.00,9074.0000,No,15783843,61.77,80.00,15783843.00,12627074.40,0.7,885,04/09/2022
SCOPE,SCOP,288019,IL0002880198,0.15286,1901,15520.00,15220.0000,No,12251872,57.76,60.00,12251872.00,7351123.20,0.7,1077,04/09/2022
TURPAZ,TRPZ,1175611,IL0011756116,0.12665,1891,1889.00,1857.0000,No,100084776,33.89,35.00,100084776.00,35029671.60,1,630,04/09/2022
CARASSO MOTORS,CRSM,1123850,IL0011238503,0.11983,1789,1957.00,1909.0000,No,91404923,30.21,35.00,91404923.00,31991723.05,1,527,04/09/2022
