Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 02/11/2022
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
SAPIENS,SPNS,1087659,KYG7T16G1039,0.41687,3829,6948.00,6632.0000,No,55114995,55.41,60.00,55114995.00,33068997.00,1,2025,11/10/2022
RATIO      PU,RATI,394015,IL0003940157,0.41173,2837,252.40,251.9000,No,1123871146,77.31,80.00,1123871146.00,899096916.80,1,2189,11/10/2022
DANEL,DANE,314013,IL0003140139,0.40316,2378,41000.00,42560.0000,No,5800850,94.97,100.00,5419650.00,5419650.00,1,2345,11/10/2022
SUMMIT,SMT,1081686,IL0010816861,0.39668,3644,4932.00,4793.0000,No,73884204,47.77,60.00,73884014.00,44330408.40,1,1692,11/10/2022
TASE,TASE,1159029,IL0011590291,0.38118,2100,2083.00,2093.0000,No,100799078,80.16,100.00,100860434.00,100860434.00,1,1691,11/10/2022
ONE TECHNOLOGI,ONE,161018,IL0001610182,0.38109,3501,4895.00,4788.0000,No,71517100,59.14,60.00,71517100.00,42910260.00,1,2025,11/10/2022
ISRACARD,ISCD,1157403,IL0011574030,0.38002,2095,1046.00,1050.0000,No,200243046,99.99,100.00,200243046.00,200243046.00,1,2102,11/10/2022
RAMI LEVI,RMLI,1104249,IL0011042491,0.36770,3378,24520.00,24350.0000,No,13775583,59.68,60.00,13775583.00,8265349.80,1,2002,11/10/2022
MIGDAL INSUR.,MGDL,1081165,IL0010811656,0.36475,4468,423.90,415.0000,No,1053908234,35.72,45.00,1053908234.00,474258705.30,1,1562,11/10/2022
RADA,RADA,1082650,IL0010826506,0.36371,2005,4032.00,3947.0000,No,49718045,100.00,100.00,49718045.00,49718045.00,1,1962,11/10/2022
SELLA REAL EST,SLARL,1109644,IL0011096448,0.35810,1974,909.20,910.0000,No,217085719,97.03,100.00,217085719.00,217085719.00,1,1917,11/10/2022
ELCO,ELCO,694034,IL0006940345,0.35240,5549,20400.00,20240.0000,No,27203291,34.11,35.00,27203291.00,9521151.85,1,1878,11/10/2022
NOFAR ENERGY,NOFR,1170877,IL0011708778,0.34223,3144,9343.00,9196.0000,No,33647857,46.45,60.00,33647857.00,20188714.20,1,1437,11/10/2022
MAYTRONICS,MTRN,1091065,IL0010910656,0.34041,4170,3814.00,3786.0000,No,109346308,43.76,45.00,109317691.00,49192960.95,1,1812,11/10/2022
TADIRAN GROUP,TDRN,258012,IL0002580129,0.33599,4115,47930.00,46770.0000,No,8586001,35.51,45.00,8586001.00,3863700.45,1,1426,11/10/2022
DELTA GALIL,DELG,627034,IL0006270347,0.33554,4110,16000.00,16420.0000,No,25686931,42.38,45.00,25686228.00,11558802.60,1,1788,11/10/2022
AUDIOCODES,AUDC,1082965,IL0010829658,0.33098,2280,7208.00,6802.0000,No,31636298,78.49,80.00,31636298.00,25309038.40,1,1689,11/10/2022
DIMRI,DIMRI,1090315,IL0010903156,0.32839,4022,21500.00,20360.0000,No,18707871,36.41,45.00,18707871.00,8418541.95,1,1387,11/10/2022
INROM CONST,INRM,1132356,IL0011323560,0.32749,1805,1443.00,1406.0000,No,125100019,87.00,100.00,125087426.00,125087426.00,1,1530,11/10/2022
MAGIC,MGIC,1082312,IL0010823123,0.29383,2699,5498.00,5344.0000,No,49093055,53.29,60.00,49093055.00,29455833.00,1,1398,11/10/2022
ELECTRA CO  PR,ECP,5010129,IL0050101299,0.28958,2656,12250.00,11990.0000,No,21681977,51.51,60.00,21715057.00,13029034.20,1,1339,11/10/2022
MENORA MIV HLD,MMHD,566018,IL0005660183,0.28359,4456,7200.00,7016.0000,No,61889555,33.98,35.00,62026146.00,21709151.10,1,1475,11/10/2022
NETO MALINDA,NTML,1105097,IL0011050973,0.27020,2482,11890.00,11840.0000,No,20875754,48.48,60.00,20875754.00,12525452.40,1,1198,11/10/2022
GENERATION CAP,GNRS,1156926,IL0011569261,0.26737,1474,116.50,115.9000,No,1264955610,98.90,100.00,1264955610.00,1264955610.00,1,1450,11/10/2022
DIRECT FINANCE,DIFI,1168186,IL0011681868,0.26233,2410,81500.00,81500.0000,No,2956844,49.23,60.00,2956844.00,1774106.40,1,1186,11/10/2022
VERIDIS,VRDS,1176387,IL0011763872,0.25591,3134,2957.00,3005.0000,No,106000000,37.32,45.00,106000000.00,47700000.00,1,1189,11/10/2022
NAVITAS PTRO PU,NVPT,1141969,IL0011419699,0.25276,1742,1860.00,1877.0000,No,93666230,74.97,80.00,93625393.00,74900314.40,1,1318,11/10/2022
ISRAEL CANADA,ISCN,434019,IL0004340191,0.25199,3086,1020.00,1077.0000,No,302584219,42.90,45.00,302584219.00,136162898.55,1,1398,11/10/2022
ARAD INVESTMENT,ARAD,731018,IL0007310183,0.25166,3082,45320.00,45280.0000,No,6801362,37.22,45.00,6801362.00,3060612.90,1,1146,11/10/2022
INFINYA,INFN,632018,IL0006320183,0.24079,2212,34110.00,34020.0000,No,6484639,55.20,60.00,6484639.00,3890783.40,1,1218,11/10/2022
BLUE SQ REAL ES,BLSR,1098565,IL0010985658,0.23396,2866,23490.00,22840.0000,No,12199163,41.94,45.00,12199163.00,5489623.35,1,1169,11/10/2022
ACRO KVUT,ACRO,1184902,IL0011849028,0.22700,2780,4860.00,4795.0000,No,57209000,36.85,45.00,57209000.00,25744050.00,1,1011,11/10/2022
MENIVIM REIT,MNRT,1140573,IL0011405730,0.22433,1236,179.20,173.8000,No,689983944,99.44,100.00,689983944.00,689983944.00,1,1192,11/10/2022
ISSTA,ISTA,1081074,IL0010810740,0.22266,1534,9719.00,9757.0000,No,15783843,61.22,80.00,15783843.00,12627074.40,1,943,11/10/2022
GILAT,GILT,1082510,IL0010825102,0.21743,1198,2117.00,2157.0000,No,56608016,90.17,100.00,56608016.00,56608016.00,1,1101,11/10/2022
SCOPE,SCOP,288019,IL0002880198,0.21153,1943,15860.00,14350.0000,No,12251872,57.76,60.00,12251872.00,7351123.20,1,1016,11/10/2022
DORAL ENERGY,DORL,1166768,IL0011667685,0.20953,1925,1083.00,1030.0000,No,177722867,48.92,60.00,177722867.00,106633720.20,1,896,11/10/2022
RETAILORS,RTLS,1175488,IL0011754889,0.20918,3294,6800.00,6665.0000,No,48442922,30.41,35.00,48442922.00,16955022.70,1,982,11/10/2022
G CITY,GCT,126011,IL0001260111,0.20708,1902,1142.00,1259.0000,No,166573393,48.32,60.00,166573393.00,99944035.80,1,1013,11/10/2022
ELECTRA REAL E.,ELCRE,1094044,IL0010940448,0.20112,2463,4345.00,4363.0000,No,56694691,40.09,45.00,56694691.00,25512610.95,1,992,11/10/2022
AFRICA RESIDENC,AFRE,1097948,IL0010979487,0.19545,1795,14200.00,14460.0000,No,12643536,49.12,60.00,12643536.00,7586121.60,1,898,11/10/2022
ARGO PROP.,ARGO,1175371,NL0015000D84,0.19443,1340,7400.00,7250.0000,No,18101534,60.27,80.00,18101534.00,14481227.20,1,791,11/10/2022
YOCHANANOF,YHNF,1161264,IL0011612640,0.19136,3013,20800.00,20780.0000,No,14487860,32.07,35.00,14487860.00,5070751.00,1,965,11/10/2022
LAND DEV,ILDC,612010,IL0006120104,0.18983,1744,4595.00,4709.0000,No,37949827,46.50,60.00,37949827.00,22769896.20,1,831,11/10/2022
AURA,AURA,373019,IL0003730194,0.17451,1603,625.00,611.0000,No,256484210,48.34,60.00,256484210.00,153890526.00,1,758,11/10/2022
MEDITR TOWER,MDTR,1131523,IL0011315236,0.16748,1539,1023.00,1040.0000,No,150393415,50.88,60.00,150393415.00,90236049.00,1,796,11/10/2022
AZORIM,AZRM,715011,IL0007150118,0.16474,2594,1231.00,1240.0000,No,210740327,33.97,35.00,210740327.00,73759114.45,1,888,11/10/2022
ISRAS,ISRS,613034,IL0006130343,0.16312,3596,66550.00,66120.0000,No,5403896,29.99,25.00,5403896.00,1350974.00,1,1072,11/10/2022
NOVOLOG,NVLG,1140151,IL0011401515,0.16116,1484,292.00,282.4000,No,508236839,57.50,60.00,506982630.00,304189578.00,1,825,11/10/2022
PROPERT & BUIL,PTBL,699017,IL0006990175,0.15800,1935,26210.00,26600.0000,No,7383332,36.82,45.00,7383332.00,3322499.40,1,723,11/10/2022
IES,IES,431015,IL0004310152,0.15675,1440,24740.00,24450.0000,No,5820368,48.43,60.00,5820368.00,3492220.80,1,689,11/10/2022
IDI INSUR,IDIN,1129501,IL0011295016,0.15031,1381,9409.00,9001.0000,No,14674913,50.45,60.00,14674913.00,8804947.80,1,666,11/10/2022
PRASHKOVSKY,PRSK,1102128,IL0011021289,0.14611,1790,8494.00,8237.0000,No,21068551,35.05,45.00,21068551.00,9480847.95,1,608,11/10/2022
CARASSO MOTORS,CRSM,1123850,IL0011238503,0.12886,2029,2220.00,2251.0000,No,91404923,30.21,35.00,91404923.00,31991723.05,1,622,11/10/2022
TURPAZ,TRPZ,1175611,IL0011756116,0.12304,1938,1936.00,1820.0000,No,100084776,33.89,35.00,100084776.00,35029671.60,1,617,11/10/2022
NAPHTHA,NFTA,643015,IL0006430156,0.10997,1732,1839.00,1910.0000,No,94166944,32.74,35.00,94166944.00,32958430.40,1,589,11/10/2022
NAYAX,NYAX,1175116,IL0011751166,0.10500,2895,8800.00,8800.0000,No,32909725,22.58,20.00,32882230.00,6576446.00,1,654,11/10/2022
DUNIEC,DUNI,400010,IL0004000100,0.10488,1652,18300.00,17950.0000,No,9025444,30.05,35.00,9025211.00,3158823.85,1,487,11/10/2022
PLASSON INDUS,PLSN,1081603,IL0010816036,0.10362,1632,17090.00,16700.0000,No,9547955,30.85,35.00,9547955.00,3341784.25,1,492,11/10/2022
ALTSHULER FIN,ALTF,1184936,IL0011849366,0.10201,1607,814.80,824.0000,No,197203360,30.08,35.00,197162733.00,69006956.55,1,489,11/10/2022
POLYRAM PLS,POLP,1170216,IL0011702169,0.09936,1217,1141.00,1104.0000,No,106659600,42.74,45.00,106659600.00,47996820.00,1,503,11/10/2022
DANYA CEBUS,DNYA,1173137,IL0011731374,0.09536,2628,8430.00,8679.0000,No,31173177,24.66,20.00,31173177.00,6234635.40,1,667,11/10/2022
HAGAG,HGG,823013,IL0008230133,0.09439,1151,1925.00,1931.0000,No,59792104,37.25,45.00,60056691.00,27025510.95,1,430,11/10/2022
ISRAEL SHIPYARD,ISHI,1168533,IL0011685331,0.08464,2333,9330.00,9343.0000,No,25000000,20.00,20.00,25000000.00,5000000.00,1,467,11/10/2022
LEVINSTEIN PROP,LVPR,1119080,IL0011190803,0.08393,1322,9177.00,9316.0000,No,14401750,30.10,35.00,14401750.00,5040612.50,1,404,11/10/2022
ILEX MEDICAL,ILX,1080753,IL0010807530,0.08225,1007,8930.00,8693.0000,No,11280622,38.06,45.00,11280622.00,5076279.90,1,373,11/10/2022
MALAM TEAM,MLTM,156018,IL0001560189,0.06387,1760,8039.00,7947.0000,No,21895230,24.28,20.00,21895230.00,4379046.00,1,422,11/10/2022
DELTA BRANDS,DLTI,1173699,IL0011736993,0.05681,1566,6262.00,6294.0000,No,25000000,20.00,20.00,25000000.00,5000000.00,1,315,11/10/2022
DIPLOMAT HOLDI.,DIPL,1173491,IL0011734915,0.05326,1174,4290.00,4241.0000,No,27368420,26.66,25.00,27368420.00,6842105.00,1,309,11/10/2022
CARASSO REAL ES,CRSR,1187962,IL0011879629,0.03616,2278,4206.00,4269.0000,No,54158516,31.73,35.00,54158516.00,18955480.60,0.25,734,11/10/2022
SHIKN&BINUI ENE,SBEN,1188242,IL0011882425,0.02611,2879,314.00,331.5000,No,916776440,20.12,20.00,916776440.00,183355288.00,0.25,611,11/10/2022
