Index Composition - Weights TA-125,,,,,,,,,,,,,,,,
As of 13/12/2022
Name,Symbol ,Security No,ISIN ,Weight (%),Market Cap (NIS millions),Base Price (0.01 NIS),Closing Price (0.01 NIS),Ex.,Capital Listed for Trading,Free Float Rate,Index Adjusted Free Float Rate,Index Adjusted No. of Shares (IANS),Index Adjusted Free Float,Weight Factor,Free Float Market Cap (NIS millions),Last IANS Update
TASE,TASE,1159029,IL0011590291,0.43935,2261,2243.00,2230.0000,No,100799078,80.16,100.00,100799078.00,100799078.00,1,1802,04/12/2022
ISRACARD,ISCD,1157403,IL0011574030,0.43504,2239,1118.00,1105.0000,No,200243046,99.99,100.00,200243046.00,200243046.00,1,2212,04/12/2022
SUMMIT,SMT,1081686,IL0010816861,0.40609,3483,4714.00,4750.0000,No,73884204,47.77,60.00,73884204.00,44330522.40,1,1676,04/12/2022
RATIO      PU,RATI,394015,IL0003940157,0.40255,2589,230.40,236.1000,No,1123871146,77.31,80.00,1123871146.00,899096916.80,1,2051,04/12/2022
SAPIENS,SPNS,1087659,KYG7T16G1039,0.40111,3440,6239.00,6581.0000,No,55140210,55.15,60.00,55140210.00,33084126.00,1,2001,04/12/2022
RAMI LEVI,RMLI,1104249,IL0011042491,0.39383,3378,24520.00,24110.0000,No,13775583,59.68,60.00,13775583.00,8265349.80,1,1982,04/12/2022
MIGDAL INSUR.,MGDL,1081165,IL0010811656,0.38597,4414,418.80,425.9000,No,1053908234,35.72,45.00,1053908234.00,474258705.30,1,1603,04/12/2022
ONE TECHNOLOGI,ONE,161018,IL0001610182,0.37882,3249,4543.00,4688.0000,No,71517100,59.14,60.00,71517100.00,42910260.00,1,1983,04/12/2022
NOFAR ENERGY,NOFR,1170877,IL0011708778,0.37144,3186,9468.00,9602.0000,No,33647857,46.39,60.00,33647857.00,20188714.20,1,1499,04/12/2022
DIMRI,DIMRI,1090315,IL0010903156,0.36481,4172,22300.00,22800.0000,No,18707871,36.28,45.00,18707871.00,8418541.95,1,1547,04/12/2022
OPKO HEALTH,OPK,1129543,US68375N1037,0.35640,3061,448.80,457.6000,No,682029288,48.46,60.00,681099362.00,408659617.20,1,1512,04/12/2022
MAYTRONICS,MTRN,1091065,IL0010910656,0.35211,4028,3682.00,3886.0000,No,109392916,43.78,45.00,109360283.00,49212127.35,1,1861,04/12/2022
SELLA REAL EST,SLARL,1109644,IL0011096448,0.34638,1782,821.10,822.0000,No,217085719,97.02,100.00,217085719.00,217085719.00,1,1731,04/12/2022
ELCO,ELCO,694034,IL0006940345,0.33710,4945,18220.00,18080.0000,No,27142384,33.96,35.00,27203291.00,9521151.85,1,1667,04/12/2022
INROM CONST,INRM,1132356,IL0011323560,0.32721,1684,1346.00,1393.0000,No,125100019,87.00,100.00,125100019.00,125100019.00,1,1516,04/12/2022
DELTA GALIL,DELG,627034,IL0006270347,0.32705,3740,14560.00,14430.0000,No,25686931,42.33,45.00,25686931.00,11559118.95,1,1569,04/12/2022
MAGIC,MGIC,1082312,IL0010823123,0.31568,2707,5515.00,5661.0000,No,49093055,53.29,60.00,49093055.00,29455833.00,1,1481,04/12/2022
AUDIOCODES,AUDC,1082965,IL0010829658,0.31204,2007,6400.00,6481.0000,No,31363074,78.30,80.00,31363074.00,25090459.20,1,1592,04/12/2022
DANEL,DANE,314013,IL0003140139,0.30492,1570,27050.00,26970.0000,No,5803674,94.97,100.00,5800850.00,5800850.00,1,1487,04/12/2022
ELECTRA CO  PR,ECP,5010129,IL0050101299,0.30437,2611,12040.00,12160.0000,No,21681977,51.51,60.00,21681977.00,13009186.20,1,1358,04/12/2022
MENORA MIV HLD,MMHD,566018,IL0005660183,0.28764,4229,6834.00,7140.0000,No,61883010,33.97,35.00,61883010.00,21659053.50,1,1501,04/12/2022
GENERATION CAP,GNRS,1156926,IL0011569261,0.28072,1445,114.20,114.9000,No,1264955610,98.90,100.00,1264955610.00,1264955610.00,1,1437,04/12/2022
VERIDIS,VRDS,1176387,IL0011763872,0.27808,3180,3000.00,2981.0000,No,106000000,37.32,45.00,106000000.00,47700000.00,1,1179,04/12/2022
LEONARDO DRS,DRS,1191261,US52661A1088,0.27789,9978,3835.00,3952.0000,No,260187260,19.12,100.00,49718045.00,49718045.00,0.75,1966,30/11/2022
G CITY,GCT,126011,IL0001260111,0.27753,2380,1429.00,1510.0000,No,166573393,48.28,60.00,166573393.00,99944035.80,1,1214,04/12/2022
INFINYA,INFN,632018,IL0006320183,0.26470,2270,35010.00,35170.0000,No,6484792,55.20,60.00,6484639.00,3890783.40,1,1259,04/12/2022
NAVITAS PTRO PU,NVPT,1141969,IL0011419699,0.26036,1675,1788.00,1796.0000,No,93666230,74.97,80.00,93666230.00,74932984.00,1,1261,04/12/2022
TADIRAN GROUP,TDRN,258012,IL0002580129,0.25850,2956,34430.00,35480.0000,No,8586001,35.50,45.00,8586001.00,3863700.45,1,1081,04/12/2022
ARAD INVESTMENT,ARAD,731018,IL0007310183,0.25467,2912,42820.00,43270.0000,No,6801362,37.22,45.00,6801362.00,3060612.90,1,1095,04/12/2022
ISSTA,ISTA,1081074,IL0010810740,0.23772,1529,9688.00,9680.0000,No,15783843,61.22,80.00,15783843.00,12627074.40,1,935,04/12/2022
ISRAEL CANADA,ISCN,434019,IL0004340191,0.23205,2654,877.00,885.0000,No,302584219,42.90,45.00,302584219.00,136162898.55,1,1149,04/12/2022
AFRICA RESIDENC,AFRE,1097948,IL0010979487,0.23174,1988,15720.00,15740.0000,No,12643536,49.12,60.00,12643536.00,7586121.60,1,978,04/12/2022
BLUE SQ REAL ES,BLSR,1098565,IL0010985658,0.22658,2591,21240.00,21180.0000,No,12199163,41.94,45.00,12199163.00,5489623.35,1,1084,04/12/2022
MENIVIM REIT,MNRT,1140573,IL0011405730,0.22579,1162,168.40,170.6000,No,689983944,99.57,100.00,689983944.00,689983944.00,1,1172,04/12/2022
ARGO PROP.,ARGO,1175371,NL0015000D84,0.22456,1445,7980.00,8070.0000,No,18101534,63.42,80.00,18101534.00,14481227.20,1,926,04/12/2022
NETO MALINDA,NTML,1105097,IL0011050973,0.21787,1869,8951.00,9146.0000,No,20875754,48.48,60.00,20875754.00,12525452.40,1,926,04/12/2022
ACRO KVUT,ACRO,1184902,IL0011849028,0.21196,2424,4237.00,4398.0000,No,57209000,36.85,45.00,57209000.00,25744050.00,1,927,04/12/2022
DIRECT FINANCE,DIFI,1168186,IL0011681868,0.20633,1770,59850.00,59910.0000,No,2956844,49.23,60.00,2956844.00,1774106.40,1,872,04/12/2022
GILAT,GILT,1082510,IL0010825102,0.20428,1051,1857.00,1906.0000,No,56610404,90.17,100.00,56608016.00,56608016.00,1,973,04/12/2022
RETAILORS,RTLS,1175488,IL0011754889,0.20428,3003,6200.00,6200.0000,No,48442922,38.28,35.00,48442922.00,16955022.70,1,1150,04/12/2022
SCOPE,SCOP,288019,IL0002880198,0.18942,1625,13260.00,13190.0000,No,12251872,57.49,60.00,12251872.00,7351123.20,1,929,04/12/2022
